columnA,columnB,columnC
0.4967141530112327,nan,B
-0.13826430117118466,yes,B
0.6476885381006925,yes,C
1.5230298564080254,nan,C
-0.23415337472333597,no,A
-0.23413695694918055,nan,A
1.5792128155073915,nan,C
0.7674347291529088,no,A
-0.4694743859349521,nan,B
0.5425600435859647,nan,B
-0.46341769281246226,nan,C
-0.46572975357025687,maybe,B
0.24196227156603412,yes,C
-1.913280244657798,yes,B
-1.7249178325130328,nan,C
-0.5622875292409727,no,B
-1.0128311203344238,yes,B
0.3142473325952739,no,A
-0.9080240755212109,nan,A
-1.4123037013352915,yes,A
1.465648768921554,nan,A
-0.22577630048653566,no,A
0.06752820468792384,yes,A
-1.4247481862134568,yes,C
-0.5443827245251827,yes,C
0.11092258970986608,yes,A
-1.1509935774223028,no,C
0.37569801834567196,yes,A
-0.600638689918805,nan,C
-0.2916937497932768,yes,B
-0.6017066122293969,no,C
1.8522781845089378,yes,C
-0.013497224737933921,no,C
-1.0577109289559004,no,B
0.822544912103189,nan,A
-1.2208436499710222,yes,C
0.2088635950047554,yes,C
-1.9596701238797756,yes,B
-1.3281860488984305,nan,A
0.19686123586912352,nan,C
0.7384665799954104,no,B
0.1713682811899705,no,A
-0.11564828238824053,no,A
-0.3011036955892888,nan,C
-1.4785219903674274,nan,C
-0.7198442083947086,nan,C
-0.4606387709597875,no,C
1.0571222262189157,nan,B
0.3436182895684614,no,B
-1.763040155362734,no,C
0.324083969394795,yes,A
-0.38508228041631654,yes,C
-0.6769220003059587,yes,A
0.6116762888408679,no,A
1.030999522495951,yes,A
0.9312801191161986,yes,B
-0.8392175232226385,yes,A
-0.3092123758512146,nan,A
0.33126343140356396,no,B
0.9755451271223592,yes,A
-0.47917423784528995,nan,A
-0.18565897666381712,nan,C
-1.1063349740060282,nan,A
-1.1962066240806708,yes,A
0.812525822394198,nan,A
1.356240028570823,no,A
-0.07201012158033385,nan,A
1.0035328978920242,nan,B
0.36163602504763415,nan,A
-0.6451197546051243,nan,A
0.36139560550841393,no,B
1.5380365664659692,yes,B
-0.03582603910995154,no,A
1.5646436558140062,no,A
-2.6197451040897444,yes,A
0.8219025043752238,nan,C
0.08704706823817122,yes,C
-0.29900735046586746,yes,A
0.0917607765355023,no,B
-1.9875689146008928,yes,A
-0.21967188783751193,nan,B
0.3571125715117464,no,B
1.477894044741516,nan,B
-0.5182702182736474,no,A
-0.8084936028931876,nan,A
-0.5017570435845365,yes,B
0.9154021177020741,yes,C
0.32875110965968446,yes,C
-0.5297602037670388,nan,C
0.5132674331133561,no,B
0.09707754934804039,no,A
0.9686449905328892,no,B
-0.7020530938773524,yes,C
-0.3276621465977682,nan,A
-0.39210815313215763,no,B
-1.4635149481321186,nan,B
0.29612027706457605,no,C
0.26105527217988933,yes,B
0.00511345664246089,nan,A
-0.23458713337514692,no,C
-1.4153707420504142,no,C
-0.42064532276535904,no,A
-0.3427145165267695,no,C
-0.8022772692216189,yes,B
-0.16128571166600914,no,B
0.4040508568145384,no,C
1.8861859012105302,yes,A
0.17457781283183896,no,B
0.25755039072276437,nan,A
-0.07444591576616721,nan,B
-1.9187712152990415,no,B
-0.026513875449216878,yes,C
0.06023020994102644,yes,C
2.463242112485286,yes,A
-0.19236096478112252,no,C
0.30154734233361247,no,B
-0.03471176970524331,nan,B
-1.168678037619532,yes,A
1.1428228145150205,no,A
0.7519330326867741,no,B
0.7910319470430469,no,C
-0.9093874547947389,yes,C
1.4027943109360992,yes,A
-1.4018510627922809,nan,A
0.5868570938002703,yes,B
2.1904556258099785,no,B
-0.9905363251306883,nan,A
